,title,price,link
10,"vivo T3 Pro 5G (Emerald Green, 128 GB)","₹24,999",https://www.flipkart.com/vivo-t3-pro-5g-emerald-green-128-gb/p/itmcf52c1fcffbf3?pid=MOBH3XHRHBUB7Y7U&lid=LSTMOBH3XHRHBUB7Y7U1LMK2U&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_108&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBH3XHRHBUB7Y7U.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
11,"POCO C61 (Mystical Green, 64 GB)","₹5,999",https://www.flipkart.com/poco-c61-mystical-green-64-gb/p/itma4390cc3463bb?pid=MOBGYQ6BRR2CNWZB&lid=LSTMOBGYQ6BRR2CNWZBPN1IAB&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_109&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBGYQ6BRR2CNWZB.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
12,"Motorola G85 5G (Urban Grey, 256 GB)","₹19,999",https://www.flipkart.com/motorola-g85-5g-urban-grey-256-gb/p/itm809e5a112dbf6?pid=MOBHY9PQZDUEQTFG&lid=LSTMOBHY9PQZDUEQTFG26VHVK&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_110&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBHY9PQZDUEQTFG.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
13,"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹37,999",https://www.flipkart.com/samsung-galaxy-s23-5g-cream-128-gb/p/itmc77ff94cdf044?pid=MOBGMFFX5XYE8MZN&lid=LSTMOBGMFFX5XYE8MZNRGKCA5&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=en_R73O4_1C_erY4w5P53lIUHRoOWYhP6YkgQt8CmsKiG_7q5Hp1fYu6aCN3jMwKUCXc8wjnkKSrPlTy8cHBgazZq8iqbiwhGf4dwbXVx7ZSks%3D&ssid=xcgvv0yrwg0000001735187490772&qH=532c28d5412dd75b
14,"CMF by Nothing Phone 1 (Orange, 128 GB)","₹17,499",https://www.flipkart.com/cmf-nothing-phone-1-orange-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTZKQKXBAY&lid=LSTMOBHYBQTZKQKXBAYIM6CMX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_111&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBHYBQTZKQKXBAY.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
15,"CMF by Nothing Phone 1 (Blue, 128 GB)","₹15,499",https://www.flipkart.com/cmf-nothing-phone-1-blue-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTMNNEFQMC&lid=LSTMOBHYBQTMNNEFQMCGO0C1P&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_112&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBHYBQTMNNEFQMC.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
16,"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹15,499",https://www.flipkart.com/cmf-nothing-phone-1-light-green-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQT9FXMYZR5&lid=LSTMOBHYBQT9FXMYZR5NL0KRX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_113&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBHYBQT9FXMYZR5.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
17,"CMF by Nothing Phone 1 (Black, 128 GB)","₹15,499",https://www.flipkart.com/cmf-nothing-phone-1-black-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTGGEGGA2B&lid=LSTMOBHYBQTGGEGGA2BCRTZZY&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_114&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBHYBQTGGEGGA2B.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
18,"realme Narzo N61 (Marble Black, 64 GB)","₹7,235",https://www.flipkart.com/realme-narzo-n61-marble-black-64-gb/p/itm0ffee8689770b?pid=MOBH39BEF7TFDH48&lid=LSTMOBH39BEF7TFDH48KU9ABF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_115&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBH39BEF7TFDH48.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
19,"Motorola Edge 50 Neo (PANTONE Latte, 256 GB)","₹20,999",https://www.flipkart.com/motorola-edge-50-neo-pantone-latte-256-gb/p/itm4cecc0a4796eb?pid=MOBHFHDRRCYFE7YJ&lid=LSTMOBHFHDRRCYFE7YJXYXTQJ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_5_116&otracker=search&otracker1=search&fm=Search&iid=7bf1ca38-2466-4b30-8cb6-26a2f62b77f3.MOBHFHDRRCYFE7YJ.SEARCH&ppt=sp&ppn=sp&ssid=fiyi3th40g0000001735187537072&qH=532c28d5412dd75b
